"PNUM","HHNUM","HEALTHSTATUS","RACECAT_R","EDUCCAT","EMPLOYMENT","HHWGT","MARITAL","HISPANIC","adltfscat","snapnowhh","caraccess","rural","inchhavg_r","pctpovguidehh_r","incfamavg_r","placedist_d","placedist_s","placedist_w","avg_dist_S","avg_dist_D","avg_dist_w"
1,100274,"3","1","4","1",13644.178485,"5","0","1","0",NA,"0",2350,186.384666226041,1200,1.456,1.21794435470071,NA,NA,NA,NA
1,100276,"3","1","3","5",148771.49781,"1","0","1","0",NA,"1",3008.55,238.615994712492,3008.55,26.703,23.6899605910384,NA,18.6006056052457,21.47625,NA
1,100283,"1","1","3","5",3470.6270135,"5","0","1","1",NA,"0",2897,229.768671513549,2897,NA,NA,NA,NA,NA,NA
1,100284,"3","1","3","5",6812.23061,"3","0","2","1",NA,"1",801,86.0519247985676,801,NA,NA,NA,NA,NA,NA
1,100286,"1","1","3","1",15203.582803,"5","0","1","0",NA,"1",1341.60910245009,106.406538198289,1341.60910245009,NA,NA,NA,NA,NA,NA
1,100287,"3","1","4","1",27198.133842,"3","0","1","0",NA,"1",3563.41515422938,223.996761921177,3563.41515422938,11.302,10.6003251498938,NA,9.90695283715024,11.21,NA
1,100292,"2","1","3","1",25358.617486,"1","0","1","0",NA,"1",8079.99999999999,640.846001321877,8079.99999999999,21.132,18.03994215958,NA,19.322360064197,23.0483333333333,NA
1,100295,"4","1","4","1",54695.571561,"5","0","1","0",NA,"1",15120,1199.20687376074,11200,NA,NA,NA,NA,NA,NA
1,100296,"3","2","4","3",4507.0378288,"5","0","4","1","1","0",628,49.8083278255122,0,NA,NA,NA,NA,NA,NA
1,100297,"1","1","1","1",10048.670871,"2","1","3","1",NA,"0",3277.52382672513,91.7859648091052,3277.52382672513,NA,NA,NA,NA,NA,NA
1,100304,"2","4","5","3",22934.144413,"5","0","1","0",NA,"0",10000,444.279896334691,10000,1.919,1.30386954898624,NA,1.30386954898624,1.919,NA
1,100305,"1","1","6","3",9902.5153117,"3","1","2","0",NA,"0",1316,104.375413086583,1316,1.384,1.386738522147,NA,1.386738522147,1.384,NA
1,100317,"4","1","5","5",35956.268452,"1","0","1","0",NA,"0",5000,260.303687635575,5000,4.857,3.66274733720581,NA,5.33600080506632,7.774,NA
1,100319,"4","4","5","1",14348.688294,"5","0","3","1",NA,"0",7302.78672664203,324.448132986688,7302.78672664203,4.492,2.96871460595409,NA,2.81231991788332,3.96722222222222,NA
1,100322,"3","1","5","5",9603.8018029,"1","0","1","0",NA,"1",2000,125.720272393923,2000,1.291,0.954446639386561,1.254,0.954446639386561,1.291,1.254
1,100323,"3","1","4","3",13755.196454,"5","1","1","1","0","0",1012,52.6854663774403,1012,0.531,0.243331610449696,0.439,0.243331610449696,0.531,0.439
1,100324,"4","2","5","5",41430.358453,"3","1","4","1",NA,"0",568,25.2350981118104,568,2.666,1.97616840681447,NA,2.4948016274436,3.146,NA
1,100325,"2","1","2","5",7454.6129304,"2","0","2","1",NA,"1",1000,107.430617726052,1000,12.978,10.8279859603947,NA,8.22137927165886,9.94033333333333,NA
1,100330,"3","4","6","1",1291.6602392,"1","0","3","0",NA,"0",2467,155.075955997905,2467,6.437,4.38878531313165,NA,2.48895824768426,3.6335,NA
1,100337,"4","1","1","1",12008.779966,"3","1","2","0",NA,"0",3360,266.490416391276,3360,1.648,1.26892802605525,NA,1.26892802605525,1.648,NA
1,100339,"2","1","3","5",16239.645332,"5","0","3","1",NA,"0",1396,110.720423000661,698,2.912,1.60355097343719,NA,1.60355097343719,2.912,NA
1,100341,"2","1","6","1",13384.171612,"5","0","1","0",NA,"0",1236.2,132.805729632945,1236.2,1.377,1.06815042962426,NA,0.837514815574319,0.991,NA
1,100350,"3","1","3","1",16527.114969,"3","0","2","0",NA,"0",1190,127.842435094002,1190,12.214,9.61744387180951,NA,8.0990586174801,10.143,NA
1,100360,"2","1","3","5",9732.2896474,"1","0","1","0",NA,"0",2829.00724793609,224.375987939412,2829.00724793609,1.118,0.767740161338958,1.118,2.76841336633845,4.1846,NA
1,100361,"1","1","5","1",27211.002929,"1","0","1","0",NA,"0",7677.99381396955,482.639736865556,7677.99381396955,2.842,2.36331336841344,NA,2.89528338185923,3.484,NA
1,100363,"3","1","4","5",52866.80977,"1","0","1","0",NA,"0",6545,340.737527114967,6545,1.322,1.20154252189374,NA,1.20154252189374,1.322,NA
1,100368,"3","1","3","5",27262.619964,"5","0","1","0","1","0",843,90.5640107430618,843,NA,NA,NA,NA,NA,NA
1,100369,"1","1","4","5",267198.92025,"1","0","1","0",NA,"0",3946,312.967614011897,3946,13.927,10.6941743330921,NA,NA,NA,NA
1,100373,"4","1","4","1",23523.835615,"1","0","2","0",NA,"0",3033.338,240.581996034369,3033.338,NA,NA,NA,NA,NA,NA
1,100380,"3","1","1","5",43645.78588,"1","0","4","1",NA,"0",1411,111.910112359551,1411,NA,NA,NA,NA,NA,NA
1,100381,"3","1","6","5",62606.958043,"1","0","1","0",NA,"1",7700,610.707204230007,7700,3.901,3.0600019728228,NA,10.3549001052298,12.7636666666667,NA
1,100384,"2","1","5","5",53038.060208,"1","0","1","0",NA,"1",2088,165.604758757436,2088,7.349,5.06947154799948,NA,5.06947154799948,7.349,NA
1,100389,"3","1","3","5",23418.579338,"1","0","1","0",NA,"0",3360,266.490416391276,3360,4.978,3.34344457179781,NA,NA,NA,NA
1,100391,"2","2","4","5",22393.227388,"1","0","1","0",NA,"0",2500,157.150340492404,2500,2.046,1.7510888550068,NA,1.7510888550068,2.046,NA
1,100406,"4","1","4","5",87161.128588,"5","0","4","0",NA,"0",801,86.0519247985676,801,0.099,0.0815576803693374,0.099,0.644972510574858,1.1062,NA
1,100408,"2","1","3","1",8332.5589435,"1","0","1","0",NA,"1",25650,2034.36880370126,25520.19,NA,NA,NA,NA,NA,NA
1,100409,"3","1","3","1",3635.9286551,"4","1","4","1",NA,"0",3128.23103427601,107.468572606104,2471.58100937014,NA,NA,NA,NA,NA,NA
1,100419,"1","1","3","5",10243.139035,"1","1","4","0",NA,"0",1864.73891942691,147.897336636635,1864.73891942691,1.916,1.02247904976192,NA,3.28033586166518,4.5002,NA
1,100426,"2","1","4","1",11501.04302,"1","1","4","0","0","0",0,0,0,4.012,3.37993477971908,NA,1.1554965927135,1.366,NA
1,100436,"2","1","1","5",4503.5568139,"1","1","2","1",NA,"0",4190,143.945032922989,4190,1.11,0.914218673690271,0.982,NA,NA,NA
1,100438,"3","1","4","1",9803.3461932,"5","0","1","0",NA,"0",1800,142.762723066755,800,2.157,0.781115371465175,0.833,0.781115371465175,2.157,0.833
1,100442,"3","1","5","5",30991.365921,"1","0","1","0",NA,"1",5459,432.967614011897,5459,121.332,88.1138449275504,NA,26.7818335528118,36.1632,NA
1,100444,"2","1","4","3",2382.5538374,"5","1","1","1",NA,"0",2962.01973904075,131.596582260233,62.0197390407459,0.856,0.774554561493359,0.856,1.03373033100202,1.23233333333333,NA
1,100446,"3","1","4","1",41874.271733,"3","0","1","0",NA,"1",2183.21365111128,234.543991166834,2183.21365111128,5.24,5.12888890355746,NA,19.2864615724591,22.6073333333333,NA
1,100447,"3","4","4","1",69603.728711,"5","0","1","0",NA,"0",8070.03037,866.968347717099,8070.03037,0.963,0.785181475883302,0.963,0.785181475883302,0.963,0.963
1,100449,"2","6","3","3",3728.5817004,"5","0","3","1",NA,"0",2333.338,121.475297180043,210,NA,NA,NA,NA,NA,NA
1,100456,"5","1","2","5",2709.7299027,"4","0","2","1",NA,"0",560,35.2016762702986,560,NA,NA,NA,NA,NA,NA
1,100457,"3","1","4","1",33896.374879,"1","0","1","0",NA,"0",4400,276.584599266632,4400,2.957,2.34189963560053,NA,1.96116383857714,2.477,NA
1,100458,"3","1","2","1",6747.2826665,"1","0","1","0",NA,"1",1600,126.90019828156,1600,NA,NA,NA,NA,NA,NA
1,100459,"4","1","4","5",12410.702724,"1","0","1","0",NA,"0",3936.97708279647,312.251982773018,3936.97708279647,0.526,0.299743724939674,0.526,2.41558209172847,3.34677777777778,NA
1,100460,"1","1","4","5",3863.9403392,"1","0","1","1",NA,"0",2267.52595331973,142.536990255824,2267.52595331973,3.184,1.67472969237107,NA,1.57471611499172,2.86625,NA
1,100461,"5","1","1","5",11565.456836,"1","0","4","1",NA,"1",910,47.3752711496746,910,6.982,5.81822975517113,NA,6.2633416827157,7.38066666666667,NA
1,100464,"3","1","4","5",31164.719092,"5","0","1","0",NA,"0",700,75.2014324082363,700,0.765,0.307756172438725,0.376,0.307756172438725,0.765,0.376
1,100476,"3","1","6","5",110488.9562,"1","0","1","0",NA,"0",1901.49885990545,150.812863971351,1901.49885990545,6.204,5.26331383745565,NA,3.03378532173941,3.60733333333333,NA
1,100485,"3","1","3","5",10831.545317,"5","1","3","1",NA,"0",2121.93030058063,82.2188040263723,1339.70213520059,6.462,5.16870809214073,NA,4.17945228528276,5.29133333333333,NA
1,100486,"1","1","4","1",61166.282344,"1","0","1","0",NA,"1",8333.25,523.829229963332,8333.25,NA,NA,NA,NA,NA,NA
1,100487,"4","2","4","1",20260.027469,"1","0","3","0",NA,"0",4423.338,230.282238611714,4423.338,9.836,8.06772825113963,NA,8.06772825113963,9.836,NA
1,100489,"2","1","5","2",17306.865016,"5","0","2","0",NA,"1",490,52.6410026857654,490,3.065,2.61003845109843,NA,2.71482546382681,3.819,NA
1,100490,"4","1","3","1",206453.66009,"1","0","1","0",NA,"1",8032.11772025461,418.157972421064,8032.11772025461,NA,NA,NA,NA,NA,NA
1,100493,"1","1","6","5",46737.573471,"1","0","1","0",NA,"0",15348.0394262297,964.779848689136,15348.0394262297,1.764,1.2311104081318,NA,NA,NA,NA
1,100494,"3","2","5","1",36568.363005,"5","0","1","0",NA,"0",3173.33,340.912802148612,3173.33,0.306,0.226315979561785,0.305,0.226315979561785,0.306,0.305
1,100499,"3","1","1","1",25150.301775,"5","1","4","0","0","0",4610.56795202,365.676242063714,4610.56795202,2.392,1.70546498153546,NA,1.70546498153546,2.392,NA
1,100501,"5","2","3","3",22540.937848,"5","0","4","1","0","0",605,38.0303823991619,380,7.898,7.25899874696875,NA,2.26192652130145,2.4495,NA
1,100502,"5","1","3","5",15080.198768,"5","0","4","1",NA,"1",4470.34,173.213044882144,4470.34,8.089,5.79905491690964,NA,5.79905491690964,8.089,NA
1,100504,"4","6","6","5",18472.362674,"1","0","1","0",NA,"1",4722,374.514210178453,4722,0.579,0.271258168826943,0.534,0.327908666753325,0.681333333333333,0.636333333333333
1,100506,"3","1","3","1",5219.8198068,"3","0","3","0",NA,"0",1760,189.077887197851,1760,NA,NA,NA,NA,NA,NA
1,100509,"1","1","3","2",26827.490034,"1","0","1","0",NA,"0",7000,555.188367481824,7000,5.761,4.4904606254675,NA,4.4904606254675,5.761,NA
1,100513,"1","1","3","1",192704.40181,"1","0","1","0",NA,"1",5044,400.052875082617,5044,4.289,3.49622223229882,NA,NA,NA,NA
1,100514,"4","2","2","4",34218.649816,"5","0","3","1",NA,"0",1406,73.1973969631237,116,0.712,0.654586515356634,0.712,0.607552882665718,0.759666666666667,0.724166666666667
1,100520,"5","1","3","5",8539.3359014,"4","0","2","1",NA,"1",828,88.952551477171,828,0.331,0.240143069937904,0.331,0.210980138586485,0.322666666666667,0.322666666666667
1,100525,"1","2","5","5",102945.17926,"1","0","1","0",NA,"0",8399.99999999999,437.310195227765,8399.99999999999,1.804,0.628389418641368,0.846,0.628389418641368,1.804,0.846
1,100529,"5","2","4","1",3234.754671,"1","0","3","1",NA,"1",1970.1,102.564859002169,1970.1,1.452,0.65541170065829,1.34,0.531221630472426,1.11016666666667,0.982833333333333
1,100533,"2","1","6","5",45736.425843,"1","0","1","0",NA,"0",4271,338.744216787839,4271,4.343,3.21190013603636,NA,2.29930340065579,3.31466666666667,NA
1,100534,"4","2","2","5",4199.7180502,"2","0","4","1",NA,"0",1100,69.1461498166579,1100,1.147,0.642509995825054,1.051,1.05092339570611,1.714,NA
1,100536,"3","2","4","1",6822.590667,"5","0","1","1",NA,"0",3017.82827844,239.351879321084,3017.82827844,NA,NA,NA,NA,NA,NA
1,100539,"3","1","1","5",5134.4479966,"3","0","1","1",NA,"1",1522.738,79.274863340564,0,28.097,24.1016506160865,NA,16.2065606404223,20.057,NA
1,100545,"3","1","3","5",14440.190488,"2","0","1","0",NA,"1",1455.9,156.408236347359,1455.9,14.039,10.0620030619737,NA,10.0620030619737,14.039,NA
1,100554,"3","1","5","5",29360.68188,"5","0","4","1","0","0",1021,80.9781890284203,1021,0.503,0.291768968907702,0.49,1.06328460537759,1.4778,NA
1,100557,"3","1","3","5",7393.9516528,"1","0","2","0",NA,"0",4900,168.336673346693,4900,NA,NA,NA,NA,NA,NA
1,100558,"3","1","3","5",5391.7257327,"1","1","3","0",NA,"0",4377.1,227.875054229935,4377.1,0.65,0.409260100428878,0.595,0.666212744467135,1.060125,NA
1,100562,"4","1","3","1",2253.1694645,"1","0","3","1",NA,"0",2353.67,60.3376201666311,2353.67,2.561,1.93306826584679,NA,1.58043278073088,2.08683333333333,NA
1,100563,"2","2","4","1",210897.74362,"5","0","1","0",NA,"1",4355.93661424353,345.480762530881,4355.93661424353,3.556,2.37224517141843,NA,2.37224517141843,3.556,NA
1,100568,"1","1","3","1",11045.764609,"5","0","1","0",NA,"0",2537.47085155144,132.102603985324,2537.47085155144,1.324,0.750719053995908,1.086,2.48837917604471,3.8521,NA
1,100572,"1","2","4","1",19197.902837,"5","0","2","0",NA,"0",4340,272.812991094814,4340,NA,NA,NA,NA,NA,NA
1,100575,"5","1","2","5",12168.511284,"5","0","4","1",NA,"0",1677,105.416448402305,1677,1.324,1.12977467073836,NA,0.700461731463253,0.8535,NA
1,100580,"3","5","1","1",3074.7485911,"1","1","4","0",NA,"0",3160.738,164.550351409978,3160.738,0.103,0.0667103747267626,0.103,NA,NA,NA
1,100584,"3","1","3","5",4064.5389624,"1","1","2","1",NA,"0",3000,133.283968900407,3000,0.923,0.636157768968451,0.861,1.14621395044512,1.58066666666667,NA
1,100588,"3","1","5","3",12538.537349,"5","0","1","0",NA,"1",9500,597.171293871137,9500,NA,NA,NA,NA,NA,NA
1,100594,"4","1","3","5",36412.28404,"1","0","1","0",NA,"1",1341,106.358228684732,1341,10.084,5.60399641491939,NA,4.53851994486254,10.7678333333333,NA
1,100595,"4","2","2","5",6690.9822282,"3","0","1","1",NA,"0",2149,170.44282881692,1029,NA,NA,NA,NA,NA,NA
1,100607,"2","1","4","5",9741.7221765,"5","0","3","0",NA,"1",680,35.4013015184382,680,NA,NA,NA,NA,NA,NA
1,100622,"2","4","5","1",1267.8276146,"1","0","1","0",NA,"0",2040,161.797752808989,2040,6.586,4.50043964714273,NA,4.46897379794756,6.544,NA
1,100623,"2","1","4","5",27727.198477,"1","0","1","0",NA,"0",11040,490.485005553499,11040,37.709,28.8974008721529,NA,6.38548601452139,8.8865,NA
1,100630,"4","2","2","5",18803.977156,"5","0","2","1",NA,"0",200,21.4861235452104,200,NA,NA,NA,NA,NA,NA
1,100633,"2","1","5","5",54484.93102,"1","1","1","0",NA,"0",6680,419.905709795704,6680,5.89,3.78914859278746,NA,2.11499608453571,3.2242,NA
1,100636,"4","2","3","2",3410.2344956,"1","0","2","1",NA,"0",902,56.6998428496595,902,NA,NA,NA,NA,NA,NA
1,100641,"3","1","4","1",3594.0997904,"1","0","2","1",NA,"0",1484.25384137947,65.9424142782436,1484.25384137947,0.488,0.246597942108552,0.436,1.03453299327493,1.2365,NA
1,100649,"2","2","1","3",17270.199889,"3","0","3","1",NA,"0",1015,109.042076991943,1015,0.9,0.828772570313728,0.9,1.21250542107443,1.5295,NA
